NOM;PRENOM;MAIL;TELEPHONE;INFOS;DISPOJ1;HEUREAFAIRE;TYPE
Bergerault;Foucauld;foucauld.bergerault@lesbriquesrouges.fr;06 00 00 00 00;;09:00;0;Membre
Ranc;Mathieu;mathieu.ranc@lesbriquesrouges.fr;06 00 00 00 01;;09:00;0;Membre
A;Sophie;prenom.nom@lesbriquesrouges.fr;06 00 00 00 02;;09:00;0;Membre
Z;Tiphanie;prenom.nom@lesbriquesrouges.fr;06 00 00 00 03;;09:00;0;Membre
E;Albert;prenom.nom@lesbriquesrouges.fr;06 00 00 00 04;;09:00;0;Membre
R;Pauline;prenom.nom@lesbriquesrouges.fr;06 00 00 00 05;;09:00;0;Membre
T;Sarah;prenom.nom@lesbriquesrouges.fr;06 00 00 00 06;;09:00;0;Membre
Y;Antoine;prenom.nom@lesbriquesrouges.fr;06 00 00 00 07;;09:00;0;Membre
L;Lexi;prenom.nom@student.junia.com;06 00 00 00 20;;10:00;8;Benevole
M;Nina;prenom.nom@student.junia.com;06 00 00 00 21;;11:00;8;Benevole
W;Angèle;prenom.nom@student.junia.com;06 00 00 00 22;;12:00;8;Benevole
X;Tom;prenom.nom@student.junia.com;06 00 00 00 23;;13:00;8;Benevole
C;Florian;prenom.nom@student.junia.com;06 00 00 00 24;;14:00;8;Benevole
MM;Thibault;prenom.nom@student.junia.com;06 00 00 00 47;;10:00;8;Benevole
WW;Nicolas;prenom.nom@student.junia.com;06 00 00 00 48;;11:00;8;Benevole
XX;Maxence;prenom.nom@student.junia.com;06 00 00 00 49;;12:00;8;Benevole
CC;Géraldine;prenom.nom@student.junia.com;06 00 00 00 50;;13:00;8;Benevole
VV;Line;prenom.nom@student.junia.com;06 00 00 00 51;;14:00;8;Benevole
BB;Flora;prenom.nom@student.junia.com;06 00 00 00 52;;15:00;8;Benevole
NN;Pierre;prenom.nom@student.junia.com;06 00 00 00 53;;16:00;8;Benevole
AAA;Paul;prenom.nom@student.junia.com;06 00 00 00 54;;17:00;8;Benevole
ZZZ;Clément;prenom.nom@student.junia.com;06 00 00 00 55;;18:00;8;Benevole
EEE;Lexi;prenom.nom@student.junia.com;06 00 00 00 56;;10:00;8;Benevole
RRR;Nina;prenom.nom@student.junia.com;06 00 00 00 57;;11:00;8;Benevole
TTT;Angèle;prenom.nom@student.junia.com;06 00 00 00 58;;12:00;8;Benevole
YYY;Tom;prenom.nom@student.junia.com;06 00 00 00 59;;13:00;8;Benevole
UUU;Florian;prenom.nom@student.junia.com;06 00 00 00 60;;14:00;8;Benevole
III;Julien;prenom.nom@student.junia.com;06 00 00 00 61;;15:00;8;Benevole
OOO;Mattéo;prenom.nom@student.junia.com;06 00 00 00 62;;16:00;8;Benevole
PPP;Louis;prenom.nom@student.junia.com;06 00 00 00 63;;17:00;8;Benevole
QQQ;Alexis;prenom.nom@student.junia.com;06 00 00 00 64;;18:00;8;Benevole
SSS;Nathalie;prenom.nom@student.junia.com;06 00 00 00 65;;10:00;8;Benevole
DDD;Emile;prenom.nom@student.junia.com;06 00 00 00 66;;11:00;8;Benevole
FFF;Edgar;prenom.nom@student.junia.com;06 00 00 00 67;;12:00;8;Benevole
GGG;Hugo;prenom.nom@student.junia.com;06 00 00 00 68;;13:00;8;Benevole
HHH;Andréa;prenom.nom@student.junia.com;06 00 00 00 69;;14:00;8;Benevole
JJJ;Arthur;prenom.nom@student.junia.com;06 00 00 00 70;;15:00;8;Benevole
KKK;Léo;prenom.nom@student.junia.com;06 00 00 00 71;;16:00;8;Benevole
